stratum,family,query_id,query_source,eligible_ndcg,n_candidates,n_graded_relevant,n_binary_relevant,exclusion_reason
same-source,primary,Q0048,msd_pancreas,True,280,2,2,
same-source,primary,Q0049,msd_pancreas,True,280,131,131,
same-source,primary,Q0050,msd_pancreas,True,280,2,1,
same-source,primary,Q0051,msd_pancreas,True,280,280,132,
same-source,primary,Q0052,msd_pancreas,True,280,280,2,
same-source,primary,Q0053,msd_pancreas,True,280,2,2,
same-source,primary,Q0054,msd_pancreas,True,280,280,120,
same-source,primary,Q0055,msd_pancreas,True,280,280,131,
same-source,primary,Q0056,msd_pancreas,True,280,2,2,
same-source,primary,Q0057,msd_pancreas,True,280,280,121,
same-source,primary,Q0058,msd_pancreas,True,280,280,280,
same-source,primary,Q0059,msd_pancreas,True,280,2,1,
same-source,primary,Q0060,lits,True,130,54,10,
same-source,primary,Q0061,lits,True,130,54,10,
same-source,primary,Q0062,lits,True,130,117,117,
same-source,primary,Q0063,lits,True,130,117,117,
same-source,primary,Q0064,lits,True,130,54,47,
same-source,primary,Q0065,lits,True,130,12,0,
same-source,primary,Q0066,lits,True,130,53,53,
same-source,primary,Q0067,lits,True,130,83,83,
same-source,primary,Q0068,lits,True,130,14,11,
same-source,primary,Q0069,lits,True,130,12,0,
same-source,primary,Q0070,lits,True,130,117,117,
same-source,primary,Q0071,lits,True,130,117,117,
same-source,primary,Q0072,lits,True,130,54,47,
same-source,primary,Q0073,lits,True,130,53,53,
same-source,primary,Q0074,lits,True,130,53,53,
same-source,primary,Q0075,lits,True,130,117,54,
same-source,primary,Q0076,lits,True,130,54,54,
same-source,primary,Q0077,lits,True,130,14,0,
same-source,primary,Q0078,lits,True,130,83,0,
same-source,primary,Q0079,lits,True,130,13,13,
same-source,primary,Q0080,lits,True,130,53,53,
same-source,primary,Q0081,lits,True,130,12,0,
same-source,primary,Q0082,lits,True,130,117,13,
same-source,primary,Q0083,lits,True,130,117,13,
same-source,primary,Q0084,lits,True,130,117,117,
same-source,primary,Q0085,flare22,True,99,40,29,
same-source,primary,Q0086,flare22,True,99,43,29,
same-source,primary,Q0087,flare22,True,99,40,29,
same-source,primary,Q0088,flare22,True,99,40,26,
same-source,primary,Q0089,flare22,True,99,50,30,
same-source,primary,Q0090,flare22,True,99,50,30,
same-source,primary,Q0091,flare22,True,99,43,43,
same-source,primary,Q0092,flare22,True,99,49,30,
same-source,primary,Q0093,flare22,True,99,42,27,
same-source,primary,Q0094,flare22,True,99,96,55,
same-source,primary,Q0095,flare22,True,99,43,43,
same-source,primary,Q0096,flare22,True,99,50,28,
same-source,primary,Q0097,flare22,True,99,96,55,
same-source,primary,Q0098,flare22,True,99,55,30,
same-source,primary,Q0099,flare22,True,99,43,28,
same-source,primary,Q0100,flare22,True,99,49,23,
same-source,primary,Q0101,flare22,True,99,49,24,
same-source,primary,Q0102,flare22,True,99,54,29,
same-source,primary,Q0103,flare22,True,99,96,48,
same-source,primary,Q0104,flare22,True,99,43,43,
same-source,primary,Q0105,flare22,True,99,49,28,
same-source,primary,Q0106,flare22,True,99,39,39,
same-source,primary,Q0107,flare22,True,99,96,48,
same-source,primary,Q0108,flare22,True,99,55,26,
same-source,primary,Q0109,flare22,True,99,42,28,
same-source,primary,Q0110,flare22,True,99,96,42,
cross-source-pooled,primary,Q0000,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0001,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0002,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0003,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0004,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0005,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0006,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0007,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0008,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0009,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0010,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0011,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0012,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0013,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0014,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0015,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0016,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0017,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0018,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0019,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0020,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0021,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0022,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0023,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0024,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0025,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0026,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0027,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0028,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0029,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0030,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0031,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0032,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0033,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0034,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0035,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0036,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0037,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0038,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0039,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0040,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0041,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0042,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0043,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0044,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0045,msd_pancreas,True,231,55,0,
cross-source-pooled,primary,Q0046,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0047,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0048,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0049,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0050,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0051,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0052,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0053,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0054,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0055,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0056,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0057,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0058,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0059,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0060,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0061,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0062,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0063,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0064,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0065,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0066,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0067,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0068,lits,True,381,97,0,
cross-source-pooled,primary,Q0069,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0070,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0071,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0072,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0073,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0074,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0075,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0076,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0077,lits,True,381,97,0,
cross-source-pooled,primary,Q0078,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0079,lits,True,381,97,0,
cross-source-pooled,primary,Q0080,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0081,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0082,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0083,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0084,lits,False,381,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0085,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0086,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0087,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0088,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0089,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0090,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0091,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0092,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0093,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0094,flare22,True,412,14,0,
cross-source-pooled,primary,Q0095,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0096,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0097,flare22,True,412,14,0,
cross-source-pooled,primary,Q0098,flare22,True,412,121,0,
cross-source-pooled,primary,Q0099,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0100,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0101,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0102,flare22,True,412,121,0,
cross-source-pooled,primary,Q0103,flare22,True,412,14,0,
cross-source-pooled,primary,Q0104,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0105,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0106,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0107,flare22,True,412,14,0,
cross-source-pooled,primary,Q0108,flare22,True,412,121,0,
cross-source-pooled,primary,Q0109,flare22,False,412,0,0,no_nonzero_graded_relevance
cross-source-pooled,primary,Q0110,flare22,True,412,14,0,
flare22-to-other-sources,primary,Q0085,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0086,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0087,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0088,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0089,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0090,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0091,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0092,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0093,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0094,flare22,True,412,14,0,
flare22-to-other-sources,primary,Q0095,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0096,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0097,flare22,True,412,14,0,
flare22-to-other-sources,primary,Q0098,flare22,True,412,121,0,
flare22-to-other-sources,primary,Q0099,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0100,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0101,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0102,flare22,True,412,121,0,
flare22-to-other-sources,primary,Q0103,flare22,True,412,14,0,
flare22-to-other-sources,primary,Q0104,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0105,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0106,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0107,flare22,True,412,14,0,
flare22-to-other-sources,primary,Q0108,flare22,True,412,121,0,
flare22-to-other-sources,primary,Q0109,flare22,False,412,0,0,no_nonzero_graded_relevance
flare22-to-other-sources,primary,Q0110,flare22,True,412,14,0,
lits-to-other-sources,primary,Q0060,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0061,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0062,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0063,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0064,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0065,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0066,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0067,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0068,lits,True,381,97,0,
lits-to-other-sources,primary,Q0069,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0070,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0071,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0072,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0073,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0074,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0075,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0076,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0077,lits,True,381,97,0,
lits-to-other-sources,primary,Q0078,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0079,lits,True,381,97,0,
lits-to-other-sources,primary,Q0080,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0081,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0082,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0083,lits,False,381,0,0,no_nonzero_graded_relevance
lits-to-other-sources,primary,Q0084,lits,False,381,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0000,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0001,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0002,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0003,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0004,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0005,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0006,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0007,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0008,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0009,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0010,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0011,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0012,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0013,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0014,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0015,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0016,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0017,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0018,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0019,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0020,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0021,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0022,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0023,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0024,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0025,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0026,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0027,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0028,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0029,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0030,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0031,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0032,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0033,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0034,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0035,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0036,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0037,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0038,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0039,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0040,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0041,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0042,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0043,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0044,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0045,msd_pancreas,True,231,55,0,
msd_pancreas-to-other-sources,primary,Q0046,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0047,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0048,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0049,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0050,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0051,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0052,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0053,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0054,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0055,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0056,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0057,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0058,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
msd_pancreas-to-other-sources,primary,Q0059,msd_pancreas,False,231,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0085,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0086,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0087,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0088,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0089,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0090,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0091,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0092,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0093,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0094,flare22,True,131,14,0,
flare22-to-lits,exploratory-source-pairs,Q0095,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0096,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0097,flare22,True,131,14,0,
flare22-to-lits,exploratory-source-pairs,Q0098,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0099,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0100,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0101,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0102,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0103,flare22,True,131,14,0,
flare22-to-lits,exploratory-source-pairs,Q0104,flare22,False,131,0,0,no_nonzero_graded_relevance
flare22-to-lits,exploratory-source-pairs,Q0105,flare22,False,131,0,0,no_nonzero_graded_relevance
