stratum,family,query_id,query_source,method,n_candidates,n_comparable,n_incomparable,incomparable_rate
same-source,primary,Q0042,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0042,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0043,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0043,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0043,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0043,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0043,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0044,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0044,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0044,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0044,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0044,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0045,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0045,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0045,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0045,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0045,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0046,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0046,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0046,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0046,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0046,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0047,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0047,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0047,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0047,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0047,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0048,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0048,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0048,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0048,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0048,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0049,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0049,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0049,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0049,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0049,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0050,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0050,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0050,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0050,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0050,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0051,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0051,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0051,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0051,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0051,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0052,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0052,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0052,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0052,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0052,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0053,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0053,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0053,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0053,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0053,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0054,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0054,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0054,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0054,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0054,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0055,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0055,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0055,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0055,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0055,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0056,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0056,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0056,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0056,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0056,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0057,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0057,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0057,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0057,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0057,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0058,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0058,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0058,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0058,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0058,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0059,msd_pancreas,MissingnessIndicators,280,280,0,0.0
same-source,primary,Q0059,msd_pancreas,OAKG,280,280,0,0.0
same-source,primary,Q0059,msd_pancreas,OAKG-Union,280,280,0,0.0
same-source,primary,Q0059,msd_pancreas,WL,280,280,0,0.0
same-source,primary,Q0059,msd_pancreas,ZeroImputation,280,280,0,0.0
same-source,primary,Q0060,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0060,lits,OAKG,130,130,0,0.0
same-source,primary,Q0060,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0060,lits,WL,130,130,0,0.0
same-source,primary,Q0060,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0061,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0061,lits,OAKG,130,130,0,0.0
same-source,primary,Q0061,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0061,lits,WL,130,130,0,0.0
same-source,primary,Q0061,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0062,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0062,lits,OAKG,130,130,0,0.0
same-source,primary,Q0062,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0062,lits,WL,130,130,0,0.0
same-source,primary,Q0062,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0063,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0063,lits,OAKG,130,130,0,0.0
same-source,primary,Q0063,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0063,lits,WL,130,130,0,0.0
same-source,primary,Q0063,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0064,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0064,lits,OAKG,130,130,0,0.0
same-source,primary,Q0064,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0064,lits,WL,130,130,0,0.0
same-source,primary,Q0064,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0065,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0065,lits,OAKG,130,130,0,0.0
same-source,primary,Q0065,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0065,lits,WL,130,130,0,0.0
same-source,primary,Q0065,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0066,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0066,lits,OAKG,130,130,0,0.0
same-source,primary,Q0066,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0066,lits,WL,130,130,0,0.0
same-source,primary,Q0066,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0067,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0067,lits,OAKG,130,130,0,0.0
same-source,primary,Q0067,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0067,lits,WL,130,130,0,0.0
same-source,primary,Q0067,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0068,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0068,lits,OAKG,130,130,0,0.0
same-source,primary,Q0068,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0068,lits,WL,130,130,0,0.0
same-source,primary,Q0068,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0069,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0069,lits,OAKG,130,130,0,0.0
same-source,primary,Q0069,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0069,lits,WL,130,130,0,0.0
same-source,primary,Q0069,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0070,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0070,lits,OAKG,130,130,0,0.0
same-source,primary,Q0070,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0070,lits,WL,130,130,0,0.0
same-source,primary,Q0070,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0071,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0071,lits,OAKG,130,130,0,0.0
same-source,primary,Q0071,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0071,lits,WL,130,130,0,0.0
same-source,primary,Q0071,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0072,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0072,lits,OAKG,130,130,0,0.0
same-source,primary,Q0072,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0072,lits,WL,130,130,0,0.0
same-source,primary,Q0072,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0073,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0073,lits,OAKG,130,130,0,0.0
same-source,primary,Q0073,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0073,lits,WL,130,130,0,0.0
same-source,primary,Q0073,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0074,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0074,lits,OAKG,130,130,0,0.0
same-source,primary,Q0074,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0074,lits,WL,130,130,0,0.0
same-source,primary,Q0074,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0075,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0075,lits,OAKG,130,130,0,0.0
same-source,primary,Q0075,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0075,lits,WL,130,130,0,0.0
same-source,primary,Q0075,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0076,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0076,lits,OAKG,130,130,0,0.0
same-source,primary,Q0076,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0076,lits,WL,130,130,0,0.0
same-source,primary,Q0076,lits,ZeroImputation,130,130,0,0.0
same-source,primary,Q0077,lits,MissingnessIndicators,130,130,0,0.0
same-source,primary,Q0077,lits,OAKG,130,130,0,0.0
same-source,primary,Q0077,lits,OAKG-Union,130,130,0,0.0
same-source,primary,Q0077,lits,WL,130,130,0,0.0
same-source,primary,Q0077,lits,ZeroImputation,130,130,0,0.0
